epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4476,1.47971,2.96734,1.40975,0.02524,1,0.34192,0.17719,1.46868,2.77364,1.38474,8e-05,8e-05,8e-05
2,42.1208,1.45176,2.5558,1.37144,0.02524,1,0.37274,0.20321,1.4516,2.65181,1.31767,0.00017109,0.00017109,0.00017109
3,63.3968,1.41611,1.83465,1.28517,0.67667,0.26415,0.38103,0.21455,1.49709,2.34288,1.30323,0.00025228,0.00025228,0.00025228
4,84.4595,1.42813,1.46679,1.26839,0.62551,0.40981,0.49453,0.26845,1.48714,2.11875,1.27526,0.00032357,0.00032357,0.00032357
5,104.43,1.45897,1.42998,1.27739,0.68297,0.48782,0.65358,0.33046,1.46172,2.00563,1.33551,0.00038496,0.00038496,0.00038496
6,124.418,1.43564,1.37643,1.31892,0.66414,0.55974,0.71185,0.367,1.44604,1.92128,1.35929,0.00043645,0.00043645,0.00043645
7,145.16,1.39935,1.29046,1.2696,0.73081,0.69811,0.75078,0.34676,1.53059,1.81289,1.45692,0.00047804,0.00047804,0.00047804
8,167.037,1.27995,1.34128,1.27526,0.6174,0.66038,0.71922,0.31952,1.61126,1.75424,1.54269,0.00050973,0.00050973,0.00050973
9,187.463,1.26561,1.10483,1.23102,0.77306,0.69811,0.76807,0.35304,1.56942,1.72552,1.49226,0.00053152,0.00053152,0.00053152
10,207.258,1.2485,1.10114,1.20479,0.64947,0.69811,0.69304,0.2966,1.67594,1.82652,1.5981,0.00054341,0.00054341,0.00054341
11,227.464,1.20295,1.25186,1.19846,0.64557,0.68741,0.72866,0.33882,1.62791,1.75411,1.5585,0.0005454,0.0005454,0.0005454
12,247.79,1.1525,1.08677,1.18588,0.7406,0.64651,0.77688,0.37688,1.60636,1.64956,1.50946,0.00053749,0.00053749,0.00053749
13,267.443,1.16569,1.04397,1.17414,0.74302,0.70929,0.78288,0.36235,1.64109,1.69007,1.5143,0.00051968,0.00051968,0.00051968
14,287.439,1.22143,1.02168,1.18461,0.76898,0.75472,0.79624,0.3853,1.59802,1.5518,1.50301,0.00049197,0.00049197,0.00049197
15,307.393,1.07837,1.01355,1.12023,0.72263,0.73737,0.80886,0.41712,1.52214,1.40402,1.41839,0.00045436,0.00045436,0.00045436
16,327.221,1.11961,0.98951,1.11874,0.75314,0.79245,0.84185,0.43937,1.48171,1.36472,1.39837,0.00040685,0.00040685,0.00040685
17,346.943,1.12086,0.92176,1.15408,0.80292,0.76878,0.85009,0.43954,1.45384,1.37233,1.37187,0.00034944,0.00034944,0.00034944
18,367.113,1.09927,0.89472,1.12444,0.79211,0.81132,0.84139,0.43141,1.45857,1.38049,1.37278,0.00028213,0.00028213,0.00028213
19,386.857,1.18234,0.97574,1.12702,0.79525,0.80619,0.83961,0.42748,1.46075,1.37106,1.36524,0.00020492,0.00020492,0.00020492
20,407.939,0.98466,0.85519,1.06393,0.76246,0.81132,0.85319,0.44842,1.45213,1.33302,1.35926,0.00011781,0.00011781,0.00011781
